product_smiles,vina_score_kcal_mol,success_vs_ref
"COc1ccc(Cc2cn(C(=O)c3ccccc3)nn2)cc1",-1.7570,1
"CC(=O)n1cc(Cc2ccc(C(=O)O)cc2)nn1",-1.6380,1
"NC(=O)n1cc(Cc2ccncc2)nn1",-1.5620,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1810,1
"O=C(O)NCCn1cc(Cc2ccsc2)nn1",-1.2480,1
"O=C(O)Cc1cn(CCCCO)nn1",-1.2100,1
"NC(=O)Cc1cn(CCCC(=O)O)nn1",-1.2230,1
"COC(=O)Cc1cn(-c2ccncc2)nn1",-1.3420,1
"CN(C)CCc1cn(-c2ccoc2)nn1",-1.2450,1
"CN(C=O)CCc1cn(-c2ccsc2)nn1",-1.1990,1
"Fc1ccc(Cn2cc(CC3CCN3)nn2)cc1",-1.6530,1
"c1ccc(-c2cn[nH]n2)cc1",-1.1830,1
